monthly_txn_count,avg_txn_amount_usd,wallet_balance_trend,airtime_recharge_freq,airtime_avg_amount_usd,has_savings_account,savings_consistency_score,monthly_savings_usd,has_prior_loan,prior_loan_repayment_rate,days_late_avg,network_diversity_score,bill_payment_regularity,merchant_payment_count,loan_amount_requested_usd,loan_duration_weeks,txn_intensity,savings_commitment_ratio,airtime_stability,no_prior_loan_flag
14,29.79,0.551,17,4.33,0,11.0,0.0,0,,,53.0,69.0,10,442.83,12,9.281,0.0,0.2406,1
18,28.28,0.519,8,1.35,0,3.0,0.0,1,0.88,9.0,53.0,60.0,6,578.71,8,9.9431,0.0,0.15,0
15,26.2,-0.543,16,2.69,1,52.0,9.6,1,0.753,26.9,57.0,35.0,8,551.29,8,9.1585,0.3529,0.1582,0
16,49.36,-0.725,10,2.87,0,8.0,0.0,1,0.66,0.6,10.0,14.0,2,102.41,8,11.1039,0.0,0.2609,0
11,33.47,-0.064,11,1.51,1,14.0,21.45,1,0.708,31.8,65.0,53.0,3,322.86,8,8.7968,0.6223,0.1258,0
9,43.38,-0.813,12,1.35,0,1.0,0.0,0,,,98.0,78.0,3,552.09,8,8.7332,0.0,0.1038,1
29,77.73,0.624,8,1.29,0,2.0,0.0,0,,,44.0,7.0,4,136.29,4,14.8497,0.0,0.1433,1
11,24.46,-0.089,23,1.42,0,9.0,0.0,1,0.8,6.6,65.0,87.0,3,359.32,8,8.0439,0.0,0.0592,0
24,71.27,0.296,16,4.43,0,1.0,0.0,0,,,32.0,94.0,12,113.84,12,13.7781,0.0,0.2606,1
21,71.27,0.498,16,2.86,1,34.0,38.81,1,0.836,13.6,68.0,73.0,2,185.45,8,13.2309,0.537,0.1682,0
30,107.38,1.087,20,2.09,0,6.0,0.0,1,0.869,2.1,87.0,60.0,11,533.53,24,16.0904,0.0,0.0995,0
17,21.88,-1.017,9,3.2,0,5.0,0.0,0,,,31.0,30.0,0,142.14,12,9.0476,0.0,0.32,1
22,63.97,0.327,25,4.54,0,3.0,0.0,1,0.841,33.6,70.0,57.0,7,1554.44,4,13.0873,0.0,0.1746,0
7,37.68,-0.279,7,1.56,0,4.0,0.0,1,0.588,11.5,53.0,25.0,4,311.31,4,7.601,0.0,0.195,0
5,10.8,-0.648,7,3.21,1,71.0,15.85,0,,,5.0,54.0,0,119.09,8,4.4222,1.3432,0.4012,1
19,50.2,0.394,14,2.09,1,82.0,16.19,0,,,54.0,55.0,4,438.8,8,11.7904,0.3162,0.1393,1
14,21.75,1.166,9,2.04,1,39.0,8.0,1,0.548,12.8,23.0,85.0,4,191.75,52,8.4615,0.3516,0.204,0
14,43.74,0.308,11,1.02,1,50.0,21.0,0,,,27.0,67.0,2,141.67,12,10.2929,0.4694,0.085,1
23,45.8,-0.079,12,3.15,0,16.0,0.0,1,0.709,19.7,47.0,81.0,6,416.86,12,12.2224,0.0,0.2423,0
13,19.11,-0.309,11,3.68,1,90.0,19.17,0,,,56.0,95.0,5,372.66,4,7.9204,0.9533,0.3067,1
15,65.36,0.522,10,3.03,0,4.0,0.0,0,,,16.0,37.0,10,123.71,4,11.6313,0.0,0.2755,1
17,147.25,-0.619,9,3.58,0,1.0,0.0,1,0.989,13.5,32.0,58.0,5,251.35,8,14.4487,0.0,0.358,0
16,54.75,0.158,15,6.79,1,54.0,7.95,0,,,50.0,97.0,5,500.32,12,11.392,0.1426,0.4244,1
13,43.76,-0.907,16,2.92,1,44.0,25.48,1,0.957,0.4,56.0,71.0,9,296.22,4,10.0319,0.5693,0.1718,0
19,102.59,0.014,12,2.71,0,7.0,0.0,1,0.827,30.7,81.0,33.0,5,150.02,24,13.9015,0.0,0.2085,0
17,69.5,-0.606,14,3.77,1,69.0,12.98,0,,,57.0,77.0,9,229.17,24,12.3003,0.1841,0.2513,1
29,38.91,1.248,16,5.23,1,81.0,29.38,1,0.723,6.3,43.0,88.0,7,402.79,12,12.5389,0.7362,0.3076,0
26,120.71,0.422,12,3.43,0,6.0,0.0,0,,,94.0,71.0,6,728.33,4,15.8254,0.0,0.2638,1
11,98.26,-0.501,19,1.66,1,80.0,21.14,1,0.722,9.3,47.0,71.0,7,75.42,4,11.425,0.213,0.083,0
9,94.61,0.31,17,8.97,0,1.0,0.0,0,,,54.0,70.0,5,863.3,8,10.5004,0.0,0.4983,1
17,66.15,0.471,8,2.48,0,5.0,0.0,0,,,11.0,38.0,1,716.55,8,12.1596,0.0,0.2756,1
17,41.51,0.36,12,6.62,0,0.0,0.0,0,,,37.0,77.0,3,1429.74,12,10.8381,0.0,0.5092,1
17,50.43,0.28,15,2.08,0,8.0,0.0,0,,,45.0,80.0,7,810.2,12,11.3887,0.0,0.13,1
13,22.86,-0.975,20,2.0,1,62.0,25.07,0,,,40.0,37.0,6,440.21,4,8.3716,1.0507,0.0952,1
27,62.75,0.132,17,3.23,1,59.0,52.76,1,0.661,24.9,50.0,62.0,2,196.39,24,13.8452,0.8276,0.1794,0
14,40.04,0.206,6,2.38,1,45.0,31.5,0,,,15.0,22.0,2,65.5,4,10.0592,0.7675,0.34,1
27,32.97,1.918,26,1.29,1,28.0,59.4,0,,,42.0,49.0,11,283.23,8,11.7476,1.7486,0.0478,1
12,27.07,-0.888,8,4.37,0,1.0,0.0,1,0.737,40.2,56.0,59.0,6,119.92,4,8.5533,0.0,0.4856,0
8,17.05,-0.471,17,1.6,0,2.0,0.0,0,,,78.0,74.0,5,784.15,8,6.3569,0.0,0.0889,1
14,75.34,0.328,10,2.39,0,4.0,0.0,0,,,64.0,55.0,3,241.53,4,11.7399,0.0,0.2173,1
17,62.35,0.381,14,1.5,0,0.0,0.0,0,,,52.0,90.0,3,356.19,52,11.9912,0.0,0.1,1
17,30.57,0.219,16,1.69,0,17.0,0.0,0,,,56.0,79.0,6,659.55,12,9.9782,0.0,0.0994,1
16,63.0,0.05,20,6.26,1,19.0,36.4,0,,,19.0,35.0,1,139.09,24,11.783,0.5688,0.2981,1
13,21.69,0.332,13,2.6,1,69.0,37.27,0,,,57.0,8.0,5,381.11,12,8.2389,1.6426,0.1857,1
10,9.96,-0.264,7,2.26,0,4.0,0.0,0,,,79.0,67.0,2,117.93,4,5.7412,0.0,0.2825,1
15,74.44,-0.07,13,2.28,0,1.0,0.0,0,,,58.0,76.0,2,634.74,8,11.9868,0.0,0.1629,1
14,68.54,0.669,16,1.81,0,5.0,0.0,1,0.82,17.9,45.0,66.0,4,218.39,12,11.4873,0.0,0.1065,0
22,62.71,1.161,25,3.93,1,49.0,27.92,1,0.883,12.1,40.0,84.0,11,593.46,12,13.0259,0.4382,0.1512,0
14,19.83,-0.092,5,1.75,0,2.0,0.0,0,,,45.0,40.0,4,1044.45,4,8.2227,0.0,0.2917,1
16,91.43,0.169,14,1.57,0,2.0,0.0,1,0.815,5.5,65.0,35.0,6,736.91,8,12.8244,0.0,0.1047,0
14,35.01,0.246,7,5.32,1,67.0,11.38,0,,,44.0,85.0,0,117.84,8,9.7051,0.316,0.665,1
10,51.58,-0.232,18,1.79,0,7.0,0.0,0,,,87.0,30.0,3,121.35,12,9.5013,0.0,0.0942,1
12,49.75,-0.249,11,2.32,1,63.0,28.07,0,,,47.0,55.0,4,287.89,8,10.0723,0.5531,0.1933,1
13,89.94,1.08,11,2.01,0,0.0,0.0,0,,,59.0,81.0,9,173.6,52,11.9027,0.0,0.1675,1
10,31.85,-0.554,19,3.6,0,7.0,0.0,0,,,30.0,47.0,5,71.44,4,8.3733,0.0,0.18,1
7,15.85,-0.545,6,1.66,0,3.0,0.0,0,,,58.0,58.0,0,199.18,12,5.8731,0.0,0.2371,1
33,87.74,1.661,18,4.99,1,27.0,41.77,0,,,60.0,73.0,9,1375.95,12,15.8182,0.4707,0.2626,1
11,39.04,-0.203,9,3.14,1,34.0,9.19,1,0.833,5.2,61.0,83.0,6,87.48,4,9.169,0.2295,0.314,0
24,57.76,0.786,19,6.57,0,9.0,0.0,1,0.734,0.3,29.0,85.0,4,264.69,8,13.112,0.0,0.3285,0
11,27.13,0.785,16,6.93,1,83.0,33.34,0,,,49.0,59.0,6,209.96,12,8.2917,1.1852,0.4076,1
15,58.36,0.329,13,2.72,0,9.0,0.0,0,,,27.0,66.0,2,242.1,8,11.3222,0.0,0.1943,1
12,34.23,-0.332,10,3.73,0,1.0,0.0,0,,,58.0,86.0,1,89.25,8,9.1361,0.0,0.3391,1
17,36.72,0.963,8,2.36,0,7.0,0.0,0,,,73.0,55.0,1,507.66,24,10.4926,0.0,0.2622,1
35,20.86,0.957,21,4.67,0,5.0,0.0,0,,,54.0,76.0,8,190.64,12,11.0539,0.0,0.2123,1
18,59.73,-0.215,15,3.74,0,1.0,0.0,1,0.846,3.3,54.0,41.0,6,490.75,12,12.0912,0.0,0.2338,0
20,46.58,1.35,11,4.73,0,0.0,0.0,0,,,64.0,77.0,5,392.27,8,11.7592,0.0,0.3942,1
15,63.41,-0.829,16,1.96,1,21.0,21.07,1,0.798,23.4,56.0,61.0,7,134.34,4,11.5486,0.3271,0.1153,0
10,36.79,-0.898,11,4.14,0,7.0,0.0,1,0.736,52.8,57.0,39.0,4,285.79,12,8.7093,0.0,0.345,0
26,91.45,-0.607,29,6.5,1,48.0,19.2,1,0.686,6.7,68.0,90.0,11,524.87,4,14.9192,0.2077,0.2167,0
12,155.13,-0.388,15,3.94,0,15.0,0.0,0,,,37.0,83.0,7,329.97,8,12.9548,0.0,0.2462,1
16,51.92,0.768,20,3.81,1,76.0,48.33,1,0.719,8.2,25.0,66.0,7,150.12,8,11.2444,0.9133,0.1814,0
12,71.59,0.069,9,1.56,0,14.0,0.0,1,0.792,5.0,62.0,74.0,3,814.47,8,10.9904,0.0,0.156,0
13,50.01,-0.503,14,1.56,1,46.0,30.47,0,,,49.0,64.0,0,442.2,4,10.3768,0.5973,0.104,1
10,28.28,-0.429,16,6.36,0,13.0,0.0,0,,,9.0,94.0,5,253.36,4,8.0975,0.0,0.3741,1
14,19.72,-0.168,12,3.84,0,8.0,0.0,1,0.877,1.1,59.0,78.0,1,511.56,8,8.2084,0.0,0.2954,0
13,42.55,1.012,13,7.46,0,5.0,0.0,1,0.774,7.9,59.0,64.0,6,353.28,12,9.9596,0.0,0.5329,0
26,87.18,0.157,18,5.61,0,2.0,0.0,0,,,40.0,73.0,7,181.07,4,14.7633,0.0,0.2953,1
13,29.03,-0.146,13,3.1,0,1.0,0.0,0,,,82.0,53.0,5,183.44,8,8.9786,0.0,0.2214,1
30,257.97,1.112,17,3.23,0,6.0,0.0,1,0.712,0.8,45.0,40.0,8,439.35,4,19.0817,0.0,0.1794,0
15,78.98,0.298,9,3.56,1,79.0,40.35,1,0.695,0.4,72.0,76.0,3,310.52,4,12.1489,0.5045,0.356,0
6,8.48,-0.27,11,2.39,1,82.0,13.61,0,,,43.0,46.0,6,161.87,12,4.3767,1.4357,0.1992,1
44,69.44,0.806,19,5.15,0,1.0,0.0,0,,,54.0,61.0,10,551.92,8,16.1964,0.0,0.2575,1
19,165.48,0.243,19,3.22,0,6.0,0.0,0,,,39.0,68.0,7,1087.17,8,15.3228,0.0,0.161,1
18,44.38,-0.348,16,3.32,0,5.0,0.0,0,,,62.0,58.0,5,282.51,24,11.2332,0.0,0.1953,1
39,37.44,1.38,31,3.93,1,87.0,70.14,1,0.866,3.4,37.0,80.0,13,369.29,24,13.4611,1.8247,0.1228,0
17,68.09,0.333,17,2.74,1,60.0,19.18,0,,,66.0,66.0,5,161.16,12,12.2419,0.2776,0.1522,1
6,65.73,-0.646,13,2.34,0,21.0,0.0,0,,,85.0,44.0,2,119.13,4,8.1741,0.0,0.1671,1
5,20.48,-1.089,4,1.65,0,6.0,0.0,0,,,21.0,62.0,1,123.31,4,5.4955,0.0,0.33,1
23,34.71,1.294,12,7.59,0,11.0,0.0,1,0.793,0.1,60.0,74.0,8,204.92,4,11.3629,0.0,0.5838,0
14,86.81,1.021,16,3.33,0,15.0,0.0,0,,,22.0,86.0,7,240.0,8,12.119,0.0,0.1959,1
17,105.33,0.136,18,1.64,0,4.0,0.0,0,,,51.0,90.0,11,896.54,12,13.4881,0.0,0.0863,1
8,26.78,-0.948,15,3.35,0,1.0,0.0,0,,,9.0,43.0,0,67.46,12,7.3043,0.0,0.2094,1
4,43.15,0.807,9,0.84,0,2.0,0.0,0,,,43.0,17.0,2,144.68,52,6.0959,0.0,0.084,1
15,29.05,-0.468,16,2.57,1,57.0,21.83,1,0.95,13.0,48.0,21.0,3,277.54,4,9.4347,0.7265,0.1512,0
7,24.31,-0.109,8,1.57,1,56.0,17.51,1,0.5,8.1,20.0,46.0,2,170.52,8,6.7191,0.6918,0.1744,0
8,20.46,-0.137,11,2.61,0,0.0,0.0,0,,,23.0,39.0,2,254.98,4,6.7371,0.0,0.2175,1
10,25.71,-0.042,10,1.35,1,74.0,31.44,0,,,31.0,39.0,1,124.76,12,7.8772,1.1771,0.1227,1
19,37.91,-2.134,7,2.06,0,8.0,0.0,0,,,22.0,55.0,3,366.67,12,10.9681,0.0,0.2575,1
13,25.86,0.802,10,5.19,0,8.0,0.0,1,0.763,27.3,62.0,72.0,6,632.88,4,8.6842,0.0,0.4718,0
28,55.82,0.364,14,4.38,0,2.0,0.0,1,0.55,5.7,72.0,73.0,11,502.4,12,13.6035,0.0,0.292,0
11,27.82,-0.269,10,3.67,0,9.0,0.0,1,0.855,3.9,56.0,44.0,1,347.0,4,8.3519,0.0,0.3336,0
20,57.8,-0.471,10,3.12,0,8.0,0.0,0,,,65.0,84.0,4,226.95,24,12.4038,0.0,0.2836,1
10,16.14,0.362,10,1.44,0,5.0,0.0,0,,,67.0,30.0,0,427.97,24,6.8134,0.0,0.1309,1
10,20.89,-0.206,11,5.41,0,8.0,0.0,0,,,40.0,40.0,7,215.32,24,7.4,0.0,0.4508,1
15,80.38,-1.038,10,4.6,0,6.0,0.0,0,,,69.0,68.0,3,412.59,8,12.197,0.0,0.4182,1
14,32.77,-0.324,8,3.2,0,4.0,0.0,0,,,34.0,85.0,2,463.8,8,9.5312,0.0,0.3556,1
22,153.88,-0.298,8,3.39,0,2.0,0.0,1,0.622,31.5,77.0,63.0,11,197.21,24,15.8112,0.0,0.3767,0
17,16.91,-0.19,12,3.03,1,56.0,28.42,1,0.617,11.6,21.0,94.0,5,206.32,12,8.3398,1.5868,0.2331,0
7,20.63,0.366,14,0.73,1,71.0,13.38,1,0.504,32.7,19.0,17.0,2,82.87,24,6.3924,0.6186,0.0487,0
9,53.68,-0.414,12,1.21,0,1.0,0.0,0,,,22.0,27.0,1,136.0,12,9.2138,0.0,0.0931,1
20,30.31,0.834,11,1.59,0,1.0,0.0,0,,,42.0,66.0,5,175.87,12,10.4851,0.0,0.1325,1
14,33.32,-0.561,8,2.64,1,76.0,23.0,1,0.481,21.4,48.0,60.0,0,225.56,12,9.5749,0.6702,0.2933,0
13,47.17,0.247,11,5.11,1,57.0,36.9,0,,,45.0,66.0,7,452.98,24,10.2257,0.766,0.4258,1
28,62.03,1.191,16,6.68,1,76.0,24.95,1,0.933,1.3,52.0,84.0,17,824.77,8,13.9528,0.3958,0.3929,0
26,90.28,0.675,18,3.86,1,58.0,43.52,1,0.839,14.2,22.0,56.0,4,299.99,4,14.8772,0.4768,0.2032,0
18,135.07,-0.052,14,2.97,0,3.0,0.0,0,,,37.0,64.0,7,126.27,24,14.4665,0.0,0.198,1
8,22.38,0.02,10,1.28,0,2.0,0.0,1,0.893,4.7,23.0,87.0,3,538.49,24,6.9254,0.0,0.1164,0
15,19.74,-0.556,7,0.7,1,62.0,22.77,1,0.502,3.1,27.0,30.0,1,135.79,8,8.4067,1.0979,0.0875,0
9,21.16,-1.202,12,2.33,0,3.0,0.0,0,,,23.0,81.0,4,45.36,52,7.1341,0.0,0.1792,1
10,32.92,0.707,14,5.7,0,2.0,0.0,0,,,50.0,10.0,4,39.99,12,8.4502,0.0,0.38,1
10,19.05,-0.489,7,3.48,0,21.0,0.0,0,,,29.0,91.0,1,232.83,8,7.1894,0.0,0.435,1
13,57.22,-0.419,12,2.61,1,82.0,37.4,0,,,81.0,61.0,5,340.33,4,10.7257,0.6424,0.2008,1
8,51.32,-0.205,8,2.94,1,98.0,22.91,1,0.477,11.8,49.0,81.0,1,511.53,8,8.6952,0.4379,0.3267,0
14,63.24,-0.132,8,4.55,0,12.0,0.0,1,0.636,27.0,79.0,54.0,3,165.75,8,11.2726,0.0,0.5056,0
5,101.67,0.474,10,3.18,0,0.0,0.0,0,,,85.0,6.0,3,529.01,8,8.2986,0.0,0.2891,1
26,106.09,0.077,28,3.67,1,45.0,17.84,1,0.504,2.3,70.0,51.0,8,639.95,8,15.4037,0.1666,0.1266,0
10,30.97,-0.398,11,1.32,1,51.0,20.33,0,,,2.0,88.0,6,228.96,8,8.3082,0.6359,0.11,1
20,79.33,-0.514,15,5.4,0,6.0,0.0,1,0.676,8.9,25.0,84.0,10,1369.1,4,13.3537,0.0,0.3375,0
20,28.85,-0.287,15,5.62,1,64.0,121.82,1,0.884,23.2,54.0,39.0,8,209.31,24,10.3398,4.0811,0.3512,0
14,63.19,0.009,8,3.25,0,0.0,0.0,1,0.855,39.5,45.0,73.0,5,62.88,8,11.2705,0.0,0.3611,0
14,16.42,0.074,5,1.81,0,1.0,0.0,0,,,32.0,71.0,2,236.62,8,7.7386,0.0,0.3017,1
15,12.98,0.071,14,2.2,0,2.0,0.0,0,,,65.0,34.0,5,127.66,4,7.3131,0.0,0.1467,1
14,64.94,-0.43,12,2.01,0,13.0,0.0,0,,,50.0,68.0,8,173.57,12,11.3433,0.0,0.1546,1
6,22.79,-0.077,13,1.12,1,53.0,12.7,0,,,20.0,70.0,2,329.8,8,6.1671,0.5338,0.08,1
12,68.21,-0.22,13,2.49,1,79.0,11.9,0,,,43.0,46.0,3,207.59,4,10.8681,0.1719,0.1779,1
24,68.21,1.217,7,5.63,0,3.0,0.0,1,0.943,22.3,16.0,60.0,6,342.21,24,13.6388,0.0,0.7038,0
20,35.47,0.171,16,1.42,1,60.0,19.39,0,,,37.0,53.0,4,420.41,8,10.9496,0.5317,0.0835,1
24,41.53,0.566,14,4.49,1,45.0,39.0,0,,,70.0,44.0,6,2248.54,8,12.0715,0.917,0.2993,1
13,17.19,0.187,20,1.89,1,89.0,21.12,1,0.518,5.9,18.0,75.0,7,265.02,4,7.6556,1.1611,0.09,0
26,54.32,0.999,16,4.25,1,44.0,151.38,1,0.871,6.0,43.0,90.0,12,549.08,8,13.2266,2.7364,0.25,0
21,75.1,-0.2,15,2.26,0,20.0,0.0,0,,,5.0,52.0,4,445.41,8,13.3905,0.0,0.1412,1
14,62.54,-0.779,8,4.52,0,4.0,0.0,1,0.663,22.8,43.0,54.0,2,183.48,4,11.2429,0.0,0.5022,0
26,19.21,-0.413,14,1.46,0,4.0,0.0,1,0.895,1.4,64.0,64.0,3,543.75,4,9.9079,0.0,0.0973,0
16,30.72,-0.22,9,9.94,0,6.0,0.0,1,0.867,36.4,57.0,55.0,6,290.13,8,9.7943,0.0,0.994,0
15,25.59,-0.736,14,4.79,1,51.0,31.86,0,,,40.0,84.0,7,940.38,8,9.0956,1.1982,0.3193,1
15,123.61,0.615,21,4.55,0,11.0,0.0,0,,,35.0,40.0,4,421.43,4,13.3783,0.0,0.2068,1
16,33.01,-1.239,16,2.2,1,56.0,27.2,0,,,39.0,60.0,1,165.78,24,9.9918,0.7998,0.1294,1
9,7.52,-0.716,14,3.2,0,6.0,0.0,0,,,33.0,56.0,5,162.26,24,4.9331,0.0,0.2133,1
22,97.74,1.066,13,3.53,0,10.0,0.0,1,0.591,7.2,35.0,17.0,5,116.04,4,14.3997,0.0,0.2521,0
12,160.92,0.373,21,3.79,1,44.0,20.09,0,,,64.0,65.0,6,393.07,12,13.0482,0.1241,0.1723,1
29,48.8,-0.026,15,4.65,0,8.0,0.0,1,0.746,12.7,64.0,83.0,5,511.15,12,13.2919,0.0,0.2906,0
17,38.15,0.232,14,2.8,0,8.0,0.0,0,,,18.0,57.0,6,475.55,12,10.6002,0.0,0.1867,1
10,39.83,-0.326,13,3.9,1,58.0,17.07,0,,,76.0,18.0,3,121.74,4,8.8948,0.4181,0.2786,1
13,21.22,-0.741,15,3.37,1,63.0,6.13,1,0.916,3.4,41.0,21.0,8,220.7,12,8.1837,0.2759,0.2106,0
16,52.64,0.421,21,2.11,1,60.0,38.06,1,0.86,2.8,74.0,62.0,7,482.07,24,11.2827,0.7095,0.0959,0
6,45.61,0.857,10,1.82,1,68.0,12.57,0,,,54.0,91.0,7,124.69,24,7.4758,0.2697,0.1655,1
20,83.02,1.172,12,4.78,0,12.0,0.0,1,0.97,32.8,70.0,71.0,4,345.41,4,13.4904,0.0,0.3677,0
9,48.78,0.08,16,2.54,0,4.0,0.0,1,0.728,11.2,74.0,52.0,3,324.92,8,8.9976,0.0,0.1494,0
17,17.7,0.397,12,2.86,0,5.0,0.0,1,0.894,16.4,17.0,18.0,3,1725.34,8,8.4645,0.0,0.22,0
7,19.92,-1.215,11,1.48,0,1.0,0.0,0,,,83.0,38.0,3,66.7,24,6.323,0.0,0.1233,1
14,34.8,0.283,8,2.94,0,2.0,0.0,1,0.763,9.6,79.0,56.0,5,471.95,12,9.6893,0.0,0.3267,0
27,36.83,1.304,18,5.71,0,9.0,0.0,0,,,33.0,55.0,7,240.79,52,12.1062,0.0,0.3005,1
10,54.16,-0.026,6,3.56,0,2.0,0.0,0,,,38.0,14.0,4,92.2,12,9.6161,0.0,0.5086,1
13,37.59,0.083,12,1.17,0,5.0,0.0,1,0.844,6.8,64.0,48.0,2,195.53,52,9.6405,0.0,0.09,0
9,34.62,-0.004,10,1.79,0,1.0,0.0,1,0.904,1.8,20.0,21.0,4,618.8,4,8.2269,0.0,0.1627,0
22,45.84,-1.22,16,4.07,0,10.0,0.0,1,0.734,5.4,47.0,91.0,4,235.1,4,12.0614,0.0,0.2394,0
10,88.11,0.211,12,3.04,1,56.0,21.74,0,,,72.0,42.0,2,60.47,8,10.7662,0.244,0.2338,1
14,78.34,0.577,17,7.61,1,70.0,32.75,1,0.341,2.4,69.0,42.0,6,464.06,4,11.8443,0.4128,0.4228,0
13,35.27,0.579,10,3.39,0,6.0,0.0,0,,,59.0,72.0,5,199.43,24,9.4768,0.0,0.3082,1
3,24.9,-0.219,6,1.97,0,16.0,0.0,0,,,4.0,62.0,0,489.51,4,4.5113,0.0,0.2814,1
29,540.6,1.672,23,5.99,1,67.0,30.17,0,,,46.0,70.0,15,526.77,24,21.4089,0.0557,0.2496,1
13,33.83,-0.114,14,2.29,1,68.0,17.7,1,0.731,8.3,35.0,88.0,3,227.46,4,9.3699,0.5082,0.1527,0
