region,gender,age,occupation,monthly_txn_count,avg_txn_amount_usd,wallet_balance_trend,airtime_recharge_freq,airtime_avg_amount_usd,has_savings_account,savings_consistency_score,monthly_savings_usd,has_prior_loan,prior_loan_repayment_rate,days_late_avg,network_diversity_score,bill_payment_regularity,merchant_payment_count,loan_amount_requested_usd,loan_duration_weeks,repaid
East Africa,Male,26,Self-employed,12,10.69,-0.162,7,2.24,0,4.0,0.0,0,,,72.0,55.0,1,37.81,4,0
East Africa,Female,63,Trader,16,61.22,-0.217,22,1.74,0,2.0,0.0,0,,,79.0,55.0,5,455.24,12,1
Southern Africa,Male,41,Trader,19,48.59,0.615,12,2.21,0,10.0,0.0,0,,,25.0,63.0,3,433.61,4,1
East Africa,Female,33,Informal worker,14,37.28,0.205,14,2.76,1,79.0,21.11,0,,,36.0,17.0,2,83.54,12,0
East Africa,Female,53,Farmer,23,51.05,-0.301,17,2.03,1,81.0,36.01,1,0.716,2.6,44.0,80.0,9,210.58,4,1
East Africa,Male,37,Farmer,14,55.44,-0.437,5,3.99,1,69.0,11.67,1,0.962,6.1,46.0,64.0,4,665.29,4,1
West Africa,Prefer not to say,30,Trader,6,18.27,-0.609,10,2.49,0,20.0,0.0,0,,,76.0,14.0,3,73.89,12,1
West Africa,Male,50,Self-employed,15,136.66,-0.532,12,2.32,1,15.0,64.88,0,,,44.0,52.0,5,278.76,4,1
East Africa,Male,51,Trader,14,25.6,-0.192,16,3.64,1,78.0,13.62,0,,,71.0,46.0,4,124.6,24,1
West Africa,Female,46,Trader,14,68.73,0.218,12,2.72,0,1.0,0.0,1,0.9,2.7,53.0,62.0,6,224.42,4,1
East Africa,Female,39,Farmer,9,51.23,-0.375,9,2.21,0,8.0,0.0,1,0.566,9.0,74.0,72.0,2,786.56,24,1
Central Africa,Male,33,Trader,27,17.23,0.417,19,3.68,0,6.0,0.0,1,0.862,2.5,57.0,45.0,5,184.16,24,1
West Africa,Female,36,Farmer,21,39.48,-0.024,22,1.99,0,2.0,0.0,1,0.87,0.6,94.0,80.0,5,903.05,8,0
West Africa,Male,59,Farmer,13,81.09,1.035,21,3.74,1,60.0,10.36,0,,,50.0,98.0,6,257.35,24,1
West Africa,Female,34,Informal worker,22,244.01,0.953,16,4.24,0,14.0,0.0,0,,,81.0,87.0,8,739.64,8,1
West Africa,Female,63,Farmer,8,44.01,0.911,10,1.98,1,53.0,18.37,1,0.323,4.2,44.0,30.0,2,226.0,4,1
Southern Africa,Male,24,Trader,9,51.94,-1.053,13,0.87,0,3.0,0.0,0,,,31.0,51.0,1,123.15,8,0
East Africa,Female,25,Salaried,15,34.94,-0.779,11,3.04,1,41.0,19.74,0,,,46.0,29.0,1,357.34,12,1
Southern Africa,Female,33,Farmer,15,129.02,-0.704,12,2.21,1,72.0,25.51,0,,,70.0,28.0,8,199.84,12,1
Southern Africa,Male,18,Farmer,33,162.19,1.412,18,6.44,1,46.0,114.42,1,0.724,2.6,68.0,85.0,6,597.91,24,1
East Africa,Male,59,Trader,7,4.45,-1.118,10,1.22,1,94.0,8.08,0,,,69.0,35.0,4,293.95,4,1
Southern Africa,Male,33,Informal worker,15,31.52,-0.335,15,5.46,0,4.0,0.0,0,,,62.0,10.0,5,90.15,8,0
West Africa,Female,22,Salaried,20,39.57,-0.673,23,3.16,0,15.0,0.0,0,,,71.0,64.0,7,380.84,52,1
West Africa,Female,47,Informal worker,9,15.97,-0.241,10,0.86,0,2.0,0.0,1,0.663,2.8,10.0,81.0,7,480.2,12,1
West Africa,Female,63,Salaried,15,42.48,-0.019,11,2.43,0,9.0,0.0,0,,,13.0,81.0,3,174.92,4,1
Southern Africa,Female,64,Trader,11,103.71,0.188,6,3.7,0,5.0,0.0,1,0.878,2.5,65.0,36.0,2,321.42,24,1
East Africa,Female,23,Self-employed,13,35.27,-0.174,14,1.16,0,6.0,0.0,0,,,32.0,81.0,6,422.66,4,0
West Africa,Male,55,Trader,20,42.97,-0.273,21,3.56,0,7.0,0.0,1,0.731,1.9,61.0,68.0,8,923.18,8,0
East Africa,Male,35,Trader,15,42.74,0.132,17,0.77,0,2.0,0.0,1,0.807,50.0,34.0,65.0,2,51.96,4,1
West Africa,Female,57,Farmer,32,77.43,0.36,17,7.34,0,4.0,0.0,0,,,80.0,81.0,5,436.64,12,1
Southern Africa,Male,46,Trader,16,65.15,0.196,15,3.26,1,67.0,21.09,0,,,47.0,70.0,7,161.0,8,1
East Africa,Male,52,Farmer,10,14.64,-0.79,8,3.74,1,82.0,14.1,0,,,54.0,43.0,0,1391.34,12,1
East Africa,Female,57,Trader,14,74.76,0.038,12,2.92,0,5.0,0.0,0,,,30.0,56.0,4,299.37,12,0
West Africa,Female,60,Informal worker,8,12.1,0.227,15,0.76,0,5.0,0.0,0,,,25.0,13.0,7,655.31,8,0
East Africa,Female,24,Salaried,9,12.92,-0.899,3,1.04,1,55.0,13.3,1,0.501,7.0,36.0,40.0,1,161.76,24,0
East Africa,Male,52,Informal worker,13,78.72,-0.719,13,1.86,1,19.0,36.28,0,,,42.0,61.0,6,470.95,8,1
West Africa,Prefer not to say,24,Farmer,15,102.73,0.499,14,2.18,0,20.0,0.0,1,0.987,20.8,57.0,76.0,5,480.0,24,1
West Africa,Male,62,Farmer,30,56.1,-0.477,20,4.54,1,7.0,40.05,0,,,74.0,74.0,13,530.95,4,1
Central Africa,Male,47,Salaried,9,18.73,-0.959,9,1.15,1,75.0,18.32,0,,,44.0,62.0,1,176.58,8,1
Central Africa,Prefer not to say,27,Farmer,15,28.57,-0.526,7,2.76,1,79.0,20.05,1,0.46,3.9,16.0,72.0,6,948.38,4,0
Southern Africa,Female,31,Farmer,19,22.73,-0.52,12,3.64,0,12.0,0.0,1,0.486,10.5,37.0,51.0,3,159.2,12,1
West Africa,Female,60,Trader,27,35.66,0.558,14,1.85,0,10.0,0.0,0,,,73.0,83.0,1,488.17,52,1
Central Africa,Female,48,Trader,18,36.02,1.051,12,2.6,0,15.0,0.0,0,,,16.0,69.0,9,764.23,52,1
Southern Africa,Female,28,Farmer,20,35.69,0.948,15,7.49,1,33.0,28.77,0,,,90.0,63.0,5,471.93,4,1
Southern Africa,Male,56,Informal worker,24,52.86,-0.168,15,5.19,1,61.0,32.82,1,0.782,10.0,33.0,76.0,5,192.45,4,1
East Africa,Male,51,Salaried,5,35.02,0.656,11,1.69,0,5.0,0.0,0,,,26.0,24.0,2,863.54,4,1
West Africa,Female,21,Self-employed,29,119.07,-0.147,21,7.43,0,8.0,0.0,0,,,33.0,50.0,12,489.85,4,1
West Africa,Female,31,Farmer,28,79.44,0.901,17,3.63,1,93.0,32.06,1,0.507,10.1,81.0,94.0,12,421.94,8,1
Central Africa,Male,57,Farmer,17,42.48,0.071,6,3.14,0,2.0,0.0,0,,,42.0,73.0,4,192.0,24,1
East Africa,Male,34,Salaried,13,38.66,0.924,12,1.3,1,54.0,15.89,1,0.638,5.0,36.0,32.0,6,120.16,4,1
West Africa,Male,19,Farmer,31,41.4,0.828,20,5.67,0,5.0,0.0,0,,,65.0,70.0,10,309.67,8,1
West Africa,Male,46,Farmer,19,49.87,1.193,15,3.11,1,73.0,29.93,0,,,80.0,52.0,4,385.06,4,1
East Africa,Female,60,Informal worker,18,72.62,-0.35,19,3.34,1,65.0,50.51,0,,,42.0,37.0,7,387.12,24,1
West Africa,Male,44,Trader,7,48.54,0.348,10,1.83,0,7.0,0.0,1,0.483,19.1,29.0,11.0,3,208.8,8,1
Central Africa,Male,63,Trader,36,67.88,1.831,24,12.39,1,67.0,18.61,1,0.892,0.6,90.0,88.0,9,687.58,12,1
Southern Africa,Female,23,Farmer,17,43.33,0.363,8,4.52,0,2.0,0.0,0,,,41.0,60.0,5,393.97,4,1
Southern Africa,Female,49,Informal worker,15,106.51,-0.065,10,2.67,1,57.0,41.77,0,,,59.0,49.0,9,151.99,4,1
East Africa,Male,48,Trader,13,43.65,-0.342,12,1.7,0,2.0,0.0,0,,,43.0,35.0,2,176.26,8,1
East Africa,Male,64,Trader,31,44.42,0.843,11,4.44,0,4.0,0.0,1,0.746,3.6,59.0,82.0,9,552.88,24,1
East Africa,Male,42,Trader,34,33.65,1.031,14,2.26,0,9.0,0.0,0,,,68.0,87.0,13,352.5,4,1
East Africa,Male,56,Salaried,28,16.65,0.028,11,4.08,1,57.0,81.77,0,,,70.0,65.0,12,121.95,12,1
West Africa,Male,24,Salaried,19,135.16,-0.357,18,3.31,1,55.0,23.7,0,,,53.0,53.0,6,170.85,24,0
East Africa,Male,20,Self-employed,16,185.62,0.801,13,3.13,1,86.0,16.15,0,,,56.0,64.0,4,285.88,12,1
West Africa,Male,51,Salaried,25,138.49,1.472,21,3.66,0,6.0,0.0,1,0.864,20.0,22.0,78.0,8,555.52,4,1
East Africa,Male,18,Trader,23,31.07,0.911,20,3.65,0,2.0,0.0,0,,,37.0,74.0,8,173.05,4,1
West Africa,Male,59,Trader,5,23.86,0.779,10,1.67,0,1.0,0.0,1,0.848,5.2,34.0,43.0,1,173.46,8,1
West Africa,Female,18,Farmer,22,50.2,0.666,21,4.91,1,35.0,29.01,1,0.481,1.2,65.0,67.0,9,547.64,12,0
West Africa,Male,50,Farmer,19,34.39,-0.995,9,2.58,0,2.0,0.0,1,0.891,22.4,24.0,40.0,4,474.89,52,0
East Africa,Male,39,Informal worker,18,60.45,0.975,13,2.87,0,3.0,0.0,1,0.711,50.2,43.0,78.0,3,362.83,12,1
West Africa,Female,48,Trader,6,30.24,-0.52,9,1.65,0,2.0,0.0,0,,,67.0,83.0,1,221.87,24,1
Central Africa,Male,47,Self-employed,15,30.29,1.212,15,1.46,0,7.0,0.0,1,0.863,8.8,30.0,83.0,2,170.06,52,1
East Africa,Male,38,Farmer,19,55.1,-0.485,12,1.87,1,77.0,18.33,0,,,28.0,76.0,7,419.38,8,1
West Africa,Female,40,Informal worker,20,9.25,0.608,10,2.25,0,1.0,0.0,0,,,59.0,60.0,5,119.58,52,1
East Africa,Female,41,Salaried,7,75.99,-0.889,12,2.31,1,79.0,7.21,1,0.638,58.9,30.0,74.0,2,97.9,8,0
West Africa,Male,49,Farmer,27,25.39,1.155,23,3.23,1,62.0,41.17,0,,,33.0,45.0,3,117.35,4,1
Central Africa,Female,51,Salaried,16,33.21,-1.182,15,3.15,1,59.0,15.57,1,0.673,25.4,13.0,78.0,5,236.6,4,1
East Africa,Female,39,Informal worker,18,64.53,0.099,17,12.89,0,4.0,0.0,1,0.524,6.7,26.0,54.0,5,309.0,12,1
Southern Africa,Male,34,Salaried,19,52.63,-0.037,11,2.53,0,10.0,0.0,1,0.786,7.0,41.0,58.0,5,742.05,24,1
West Africa,Male,20,Salaried,25,76.85,-0.156,15,4.07,1,44.0,18.41,0,,,90.0,40.0,5,190.62,8,1
East Africa,Male,54,Farmer,15,95.99,-0.028,7,3.44,1,30.0,22.5,1,0.728,6.8,73.0,69.0,5,528.51,4,1
East Africa,Female,28,Farmer,14,32.04,-0.418,13,13.26,0,4.0,0.0,0,,,52.0,19.0,6,291.92,4,1
Central Africa,Male,38,Salaried,14,54.83,-0.118,11,2.93,0,1.0,0.0,0,,,38.0,68.0,5,166.65,8,1
East Africa,Male,64,Informal worker,19,37.05,0.274,12,1.4,0,1.0,0.0,0,,,52.0,79.0,4,311.26,8,0
East Africa,Male,54,Informal worker,23,122.81,-0.17,13,3.47,0,10.0,0.0,0,,,55.0,80.0,9,634.97,24,1
West Africa,Female,34,Farmer,20,45.25,0.028,22,0.92,0,10.0,0.0,0,,,52.0,48.0,3,758.84,4,0
West Africa,Male,40,Trader,33,68.09,1.001,14,2.95,0,5.0,0.0,0,,,39.0,41.0,10,241.29,12,1
East Africa,Male,33,Farmer,14,38.64,-0.55,14,2.25,0,5.0,0.0,1,0.847,2.2,39.0,52.0,4,423.99,4,1
East Africa,Male,47,Self-employed,10,42.55,-0.149,6,1.78,1,43.0,8.41,1,0.561,6.4,32.0,19.0,1,180.68,24,1
West Africa,Female,25,Trader,27,77.88,0.095,19,14.23,1,64.0,78.74,0,,,75.0,62.0,9,130.27,8,1
Southern Africa,Male,62,Trader,35,56.74,1.28,20,10.08,1,76.0,17.06,1,0.649,1.5,70.0,55.0,7,205.15,12,1
Central Africa,Female,64,Trader,15,40.23,0.365,11,3.89,1,59.0,24.15,1,0.832,0.0,44.0,82.0,5,120.23,24,1
West Africa,Male,32,Farmer,17,42.6,-0.699,18,7.92,0,1.0,0.0,0,,,61.0,81.0,8,100.99,4,1
East Africa,Male,28,Trader,9,42.22,1.002,15,3.21,0,1.0,0.0,0,,,35.0,40.0,5,429.8,52,1
West Africa,Male,43,Informal worker,4,49.91,-0.137,7,4.16,1,85.0,11.7,1,0.645,16.5,31.0,24.0,3,223.02,8,1
Southern Africa,Male,48,Trader,31,95.11,0.12,21,2.71,1,34.0,40.83,1,0.879,3.4,59.0,77.0,12,1047.2,12,1
West Africa,Male,48,Trader,31,58.18,2.124,31,4.63,0,1.0,0.0,0,,,73.0,42.0,11,120.21,8,1
Southern Africa,Female,19,Trader,6,23.86,-0.386,9,2.74,0,3.0,0.0,0,,,46.0,40.0,4,221.28,12,0
Southern Africa,Male,51,Trader,26,186.83,-0.423,19,10.12,1,77.0,45.58,1,0.737,14.0,49.0,53.0,12,368.14,24,1
Southern Africa,Female,21,Salaried,21,23.65,1.033,10,6.54,1,85.0,96.13,0,,,57.0,79.0,6,177.92,12,1
West Africa,Male,34,Self-employed,8,14.1,-0.085,6,1.45,1,65.0,24.94,0,,,52.0,43.0,3,683.15,24,1
Central Africa,Female,51,Salaried,15,28.71,0.825,12,3.82,0,5.0,0.0,1,0.648,3.2,34.0,42.0,8,325.31,12,1
West Africa,Male,59,Salaried,14,59.98,-0.002,10,2.11,0,3.0,0.0,0,,,14.0,54.0,5,628.04,8,1
West Africa,Female,47,Trader,4,26.8,-0.407,15,3.52,0,3.0,0.0,0,,,46.0,55.0,4,747.93,24,0
East Africa,Male,25,Salaried,12,22.73,-0.826,9,3.3,0,2.0,0.0,1,0.783,0.2,60.0,75.0,6,392.32,4,1
East Africa,Female,49,Farmer,15,60.42,-0.684,10,3.1,0,0.0,0.0,1,0.714,70.5,36.0,79.0,5,284.55,4,0
Southern Africa,Female,19,Salaried,12,19.05,-0.403,14,3.86,0,11.0,0.0,1,0.669,18.7,36.0,61.0,4,636.83,4,1
Southern Africa,Female,28,Informal worker,24,83.99,-0.758,16,3.14,0,8.0,0.0,0,,,52.0,66.0,5,132.72,24,0
West Africa,Female,23,Farmer,17,83.51,-0.564,12,2.42,1,79.0,20.21,1,0.453,1.6,35.0,67.0,4,157.29,24,1
Central Africa,Male,64,Trader,32,131.47,0.69,20,7.41,1,60.0,94.75,0,,,71.0,73.0,7,1589.0,8,1
West Africa,Male,35,Trader,18,59.24,-0.038,11,1.1,0,5.0,0.0,0,,,50.0,96.0,10,116.1,4,0
East Africa,Male,44,Farmer,26,115.71,-1.317,22,2.99,1,92.0,43.0,1,0.541,3.4,61.0,81.0,8,263.94,8,0
West Africa,Female,55,Farmer,10,152.84,-0.933,7,1.32,0,21.0,0.0,1,0.658,0.4,21.0,79.0,3,276.69,4,1
Central Africa,Male,63,Self-employed,12,34.23,-0.332,10,3.73,0,1.0,0.0,0,,,58.0,86.0,1,89.25,8,0
West Africa,Male,64,Trader,9,44.12,-0.449,11,2.79,1,27.0,58.26,0,,,60.0,44.0,5,212.45,4,1
West Africa,Female,25,Informal worker,22,245.12,0.774,23,4.93,0,15.0,0.0,0,,,69.0,30.0,3,461.28,12,1
East Africa,Male,36,Farmer,27,36.7,-0.218,17,2.52,0,14.0,0.0,0,,,22.0,83.0,4,1646.03,12,1
Central Africa,Female,37,Trader,21,62.15,0.474,12,5.42,0,2.0,0.0,1,0.934,5.8,96.0,68.0,8,195.3,12,0
Central Africa,Male,55,Farmer,3,71.83,-0.194,9,0.8,0,1.0,0.0,0,,,17.0,18.0,1,192.72,24,1
Southern Africa,Female,33,Farmer,22,89.45,0.686,13,5.66,0,2.0,0.0,0,,,44.0,68.0,9,132.37,4,0
Central Africa,Female,28,Farmer,46,49.67,1.234,24,2.55,0,11.0,0.0,0,,,77.0,73.0,14,1173.72,24,1
Central Africa,Female,53,Trader,12,31.27,-1.366,12,3.61,1,76.0,11.54,0,,,40.0,96.0,2,325.5,12,1
East Africa,Male,41,Trader,18,72.71,0.865,9,0.81,0,4.0,0.0,1,0.905,4.3,42.0,77.0,9,321.29,8,1
West Africa,Male,53,Trader,13,40.74,0.546,14,1.68,0,0.0,0.0,0,,,70.0,75.0,5,75.02,4,1
Southern Africa,Male,35,Salaried,24,40.45,-0.65,9,1.78,1,45.0,33.7,1,0.778,8.6,60.0,43.0,7,267.75,4,1
Southern Africa,Male,40,Salaried,8,11.65,-0.235,13,3.46,0,2.0,0.0,0,,,72.0,14.0,1,206.85,24,0
East Africa,Female,18,Trader,28,119.06,0.149,26,7.9,0,10.0,0.0,0,,,92.0,65.0,10,257.18,8,1
West Africa,Male,18,Informal worker,15,134.53,-0.45,13,1.51,0,1.0,0.0,0,,,4.0,50.0,2,71.83,4,1
Southern Africa,Male,18,Self-employed,8,37.42,0.108,7,5.39,1,57.0,28.8,1,0.868,11.9,51.0,31.0,1,56.95,8,1
West Africa,Male,26,Trader,14,59.13,-0.123,9,1.58,1,67.0,19.87,1,0.868,13.6,40.0,43.0,3,222.27,8,1
Central Africa,Female,34,Trader,9,18.53,-0.08,11,3.17,0,6.0,0.0,0,,,32.0,16.0,1,384.72,52,0
West Africa,Male,20,Trader,14,15.93,-0.039,8,1.54,0,4.0,0.0,0,,,30.0,26.0,2,159.53,24,0
West Africa,Male,25,Trader,18,28.19,0.844,15,5.11,0,5.0,0.0,0,,,73.0,79.0,3,631.26,8,0
Southern Africa,Male,57,Salaried,23,78.65,0.81,16,3.14,0,5.0,0.0,0,,,50.0,42.0,10,658.08,4,0
West Africa,Male,58,Salaried,25,67.26,0.365,16,3.46,0,2.0,0.0,1,0.565,7.6,75.0,46.0,11,219.33,8,1
West Africa,Female,31,Farmer,15,14.3,-0.347,10,1.17,1,76.0,5.97,1,0.883,1.1,44.0,67.0,5,160.27,24,1
East Africa,Male,62,Farmer,8,38.12,-0.06,10,2.14,0,1.0,0.0,0,,,51.0,90.0,3,450.38,4,1
Central Africa,Female,23,Salaried,13,41.76,-0.288,12,2.94,1,73.0,23.81,0,,,46.0,60.0,3,231.91,12,0
West Africa,Female,19,Trader,15,49.82,-0.04,13,0.85,1,34.0,49.34,1,0.405,32.0,71.0,48.0,1,336.4,8,1
West Africa,Female,34,Trader,6,29.25,-1.128,14,1.64,0,12.0,0.0,0,,,59.0,70.0,2,75.01,12,0
Southern Africa,Female,30,Trader,12,60.44,-0.175,15,3.05,0,1.0,0.0,1,0.815,12.7,52.0,63.0,2,334.78,4,1
Central Africa,Female,21,Salaried,19,20.26,0.766,20,5.54,0,2.0,0.0,1,0.554,11.2,45.0,61.0,6,295.25,52,1
East Africa,Male,57,Informal worker,17,140.31,0.05,11,3.45,0,2.0,0.0,1,0.752,5.1,68.0,54.0,6,582.44,12,1
